gage,datetime,flow_cfs,cd_00060,stage_ft,cd_00065,year,mon,yday,hour,flow_cms,stage_m
11427000,2016-02-01T08:30:00Z,3210,P,3.15,P,2016,2,32,0,90.89707887,0.96012
11427000,2016-02-01T08:45:00Z,3200,P,3.14,P,2016,2,32,0,90.6139104,0.957072
11427000,2016-02-01T09:00:00Z,3180,P,3.13,P,2016,2,32,1,90.04757346,0.954024
11427000,2016-02-01T09:15:00Z,3160,P,3.12,P,2016,2,32,1,89.48123652,0.950976
11427000,2016-02-01T09:30:00Z,3150,P,3.11,P,2016,2,32,1,89.19806805,0.947928
11427000,2016-02-01T09:45:00Z,3130,P,3.1,P,2016,2,32,1,88.63173111,0.94488
11427000,2016-02-01T10:00:00Z,3130,P,3.1,P,2016,2,32,2,88.63173111,0.94488
11427000,2016-02-01T10:15:00Z,3110,P,3.09,P,2016,2,32,2,88.06539417,0.941832
11427000,2016-02-01T10:30:00Z,3090,P,3.08,P,2016,2,32,2,87.49905723,0.938784
11427000,2016-02-01T10:45:00Z,3090,P,3.08,P,2016,2,32,2,87.49905723,0.938784
11427000,2016-02-01T11:00:00Z,3080,P,3.07,P,2016,2,32,3,87.21588876,0.935736
11427000,2016-02-01T11:15:00Z,3040,P,3.05,P,2016,2,32,3,86.08321488,0.92964
11427000,2016-02-01T11:30:00Z,3040,P,3.05,P,2016,2,32,3,86.08321488,0.92964
11427000,2016-02-01T11:45:00Z,3030,P,3.04,P,2016,2,32,3,85.80004641,0.926592
11427000,2016-02-01T12:00:00Z,3010,P,3.03,P,2016,2,32,4,85.23370947,0.923544
11427000,2016-02-01T12:15:00Z,2990,P,3.02,P,2016,2,32,4,84.66737253,0.920496
11427000,2016-02-01T12:30:00Z,2990,P,3.02,P,2016,2,32,4,84.66737253,0.920496
11427000,2016-02-01T12:45:00Z,2980,P,3.01,P,2016,2,32,4,84.38420406,0.917448
11427000,2016-02-01T13:00:00Z,2960,P,3,P,2016,2,32,5,83.81786712,0.9144
11427000,2016-02-01T13:15:00Z,2940,P,2.99,P,2016,2,32,5,83.25153018,0.911352
11427000,2016-02-01T13:30:00Z,2930,P,2.98,P,2016,2,32,5,82.96836171,0.908304
11427000,2016-02-01T13:45:00Z,2910,P,2.97,P,2016,2,32,5,82.40202477,0.905256
11427000,2016-02-01T14:00:00Z,2900,P,2.96,P,2016,2,32,6,82.1188563,0.902208
11427000,2016-02-01T14:15:00Z,2880,P,2.95,P,2016,2,32,6,81.55251936,0.89916
11427000,2016-02-01T14:30:00Z,2870,P,2.94,P,2016,2,32,6,81.26935089,0.896112
11427000,2016-02-01T14:45:00Z,2870,P,2.94,P,2016,2,32,6,81.26935089,0.896112
11427000,2016-02-01T15:00:00Z,2850,P,2.93,P,2016,2,32,7,80.70301395,0.893064
11427000,2016-02-01T15:15:00Z,2840,P,2.92,P,2016,2,32,7,80.41984548,0.890016
11427000,2016-02-01T15:30:00Z,2840,P,2.92,P,2016,2,32,7,80.41984548,0.890016
11427000,2016-02-01T15:45:00Z,2820,P,2.91,P,2016,2,32,7,79.85350854,0.886968
11427000,2016-02-01T16:00:00Z,2810,P,2.9,P,2016,2,32,8,79.57034007,0.88392
11427000,2016-02-01T16:15:00Z,2790,P,2.89,P,2016,2,32,8,79.00400313,0.880872
11427000,2016-02-01T16:30:00Z,2790,P,2.89,P,2016,2,32,8,79.00400313,0.880872
11427000,2016-02-01T16:45:00Z,2770,P,2.88,P,2016,2,32,8,78.43766619,0.877824
11427000,2016-02-01T17:00:00Z,2770,P,2.88,P,2016,2,32,9,78.43766619,0.877824
11427000,2016-02-01T17:15:00Z,2760,P,2.87,P,2016,2,32,9,78.15449772,0.874776
11427000,2016-02-01T17:30:00Z,2730,P,2.85,P,2016,2,32,9,77.30499231,0.86868
11427000,2016-02-01T17:45:00Z,2710,P,2.84,P,2016,2,32,9,76.73865537,0.865632
11427000,2016-02-01T18:00:00Z,2710,P,2.84,P,2016,2,32,10,76.73865537,0.865632
11427000,2016-02-01T18:15:00Z,2680,P,2.82,P,2016,2,32,10,75.88914996,0.859536
11427000,2016-02-01T18:30:00Z,2680,P,2.82,P,2016,2,32,10,75.88914996,0.859536
11427000,2016-02-01T18:45:00Z,2670,P,2.81,P,2016,2,32,10,75.60598149,0.856488
11427000,2016-02-01T19:00:00Z,2650,P,2.8,P,2016,2,32,11,75.03964455,0.85344
11427000,2016-02-01T19:15:00Z,2650,P,2.8,P,2016,2,32,11,75.03964455,0.85344
